product_id,date,stock_received,damaged_stock,damage %,damaged_stock>stock_recieved
153019,17-Mar-2023,4,2,0.50,FALSE
848226,17-Mar-2023,4,2,0.50,FALSE
965755,17-Mar-2023,1,0,0.00,FALSE
39154,17-Mar-2023,4,0,0.00,FALSE
34186,17-Mar-2023,3,2,0.67,FALSE
478531,17-Mar-2023,4,2,0.50,FALSE
812607,17-Mar-2023,4,0,0.00,FALSE
818990,17-Mar-2023,4,0,0.00,FALSE
14145,17-Mar-2023,0,2,0.00,TRUE
847349,17-Mar-2023,0,2,0.00,TRUE
284460,17-Mar-2023,4,0,0.00,FALSE
77308,17-Mar-2023,0,2,0.00,TRUE
654297,17-Mar-2023,4,2,0.50,FALSE
376447,17-Mar-2023,4,0,0.00,FALSE
217710,17-Mar-2023,0,2,0.00,TRUE
888807,17-Mar-2023,1,0,0.00,FALSE
41853,17-Mar-2023,4,0,0.00,FALSE
257719,17-Mar-2023,4,0,0.00,FALSE
741341,17-Mar-2023,0,2,0.00,TRUE
500633,17-Mar-2023,0,2,0.00,TRUE
799952,17-Mar-2023,3,0,0.00,FALSE
833557,17-Mar-2023,4,0,0.00,FALSE
324809,17-Mar-2023,1,0,0.00,FALSE
455083,17-Mar-2023,0,2,0.00,TRUE
592784,17-Mar-2023,3,0,0.00,FALSE
578097,17-Mar-2023,0,2,0.00,TRUE
487065,17-Mar-2023,4,0,0.00,FALSE
734789,17-Mar-2023,4,0,0.00,FALSE
949818,17-Mar-2023,0,2,0.00,TRUE
654623,17-Mar-2023,4,0,0.00,FALSE
378230,17-Mar-2023,0,2,0.00,TRUE
990993,17-Mar-2023,1,0,0.00,FALSE
762527,17-Mar-2023,4,0,0.00,FALSE
602241,17-Mar-2023,1,2,2.00,TRUE
491521,17-Mar-2023,3,0,0.00,FALSE
832348,17-Mar-2023,3,2,0.67,FALSE
567671,17-Mar-2023,4,0,0.00,FALSE
991434,17-Mar-2023,0,2,0.00,TRUE
540618,17-Mar-2023,3,0,0.00,FALSE
